vento_velocidade_horaria_(m/s),Data
0.42424242424242425,2010-01-01 03:00:00
0.3939393939393939,2010-01-01 07:00:00
0.3232323232323232,2010-01-01 11:00:00
0.3232323232323232,2010-01-01 15:00:00
0.4646464646464647,2010-01-01 19:00:00
0.35353535353535354,2010-01-01 23:00:00
0.11111111111111109,2010-01-02 03:00:00
0.15151515151515152,2010-01-02 07:00:00
0.08080808080808081,2010-01-02 11:00:00
0.1616161616161616,2010-01-02 15:00:00
0.3434343434343434,2010-01-02 19:00:00
0.4343434343434344,2010-01-02 23:00:00
0.2424242424242424,2010-01-03 03:00:00
0.09090909090909091,2010-01-03 07:00:00
0.1414141414141414,2010-01-03 11:00:00
0.2828282828282828,2010-01-03 15:00:00
0.2828282828282828,2010-01-03 19:00:00
0.15151515151515152,2010-01-03 23:00:00
0.0202020202020202,2010-01-04 03:00:00
0.10101010101010101,2010-01-04 07:00:00
0.21212121212121213,2010-01-04 11:00:00
0.1414141414141414,2010-01-04 15:00:00
0.09090909090909091,2010-01-04 19:00:00
0.2323232323232323,2010-01-04 23:00:00
0.0,2010-01-05 03:00:00
0.15151515151515152,2010-01-05 11:00:00
0.494949494949495,2010-01-05 15:00:00
0.36363636363636365,2010-01-05 19:00:00
0.22222222222222218,2010-01-06 07:00:00
0.050505050505050504,2010-01-06 11:00:00
0.08080808080808081,2010-01-06 15:00:00
0.3737373737373737,2010-01-06 19:00:00
0.5656565656565656,2010-01-06 23:00:00
0.494949494949495,2010-01-07 11:00:00
0.4646464646464647,2010-01-07 15:00:00
0.5353535353535354,2010-01-07 19:00:00
0.6060606060606061,2010-01-07 23:00:00
0.30303030303030304,2010-01-08 03:00:00
0.26262626262626265,2010-01-08 07:00:00
0.36363636363636365,2010-01-08 11:00:00
0.494949494949495,2010-01-08 15:00:00
0.3434343434343434,2010-01-08 19:00:00
0.1414141414141414,2010-01-08 23:00:00
0.1919191919191919,2010-01-09 03:00:00
0.0,2010-01-09 07:00:00
0.010101010101010102,2010-01-09 11:00:00
0.25252525252525254,2010-01-09 15:00:00
0.3434343434343434,2010-01-09 19:00:00
0.1313131313131313,2010-01-09 23:00:00
0.22222222222222218,2010-01-10 03:00:00
0.030303030303030307,2010-01-10 07:00:00
0.3939393939393939,2010-01-10 15:00:00
0.1717171717171717,2010-01-10 19:00:00
0.0707070707070707,2010-01-10 23:00:00
0.10101010101010101,2010-01-11 03:00:00
0.1212121212121212,2010-01-11 07:00:00
0.2424242424242424,2010-01-11 11:00:00
0.42424242424242425,2010-01-11 15:00:00
0.08080808080808081,2010-01-11 19:00:00
0.050505050505050504,2010-01-12 03:00:00
0.25252525252525254,2010-01-12 11:00:00
0.47474747474747475,2010-01-12 15:00:00
0.3939393939393939,2010-01-12 19:00:00
0.10101010101010101,2010-01-12 23:00:00
0.08080808080808081,2010-01-13 03:00:00
0.1616161616161616,2010-01-13 07:00:00
0.030303030303030307,2010-01-13 11:00:00
0.3434343434343434,2010-01-13 15:00:00
0.3737373737373737,2010-01-13 19:00:00
0.3939393939393939,2010-01-13 23:00:00
